Journal Report 1 (R4)	Number of Successful Full-Text Article Requests by Month and Journal																				
Universität Regensburg																					
2000374973																					
Period covered by Report:																					
2014-01-01 to 2014-12-31																					
Date run:																					
2015-03-17																					
Journal	Publisher	Platform	Journal DOI	Proprietary Identifier	Print ISSN	Online ISSN	Reporting Period Total	Reporting Period HTML	Reporting Period PDF	Jan-2014	Feb-2014	Mar-2014	Apr-2014	May-2014	Jun-2014	Jul-2014	Aug-2014	Sep-2014	Oct-2014	Nov-2014	Dec-2014
Total for all journals	Springer	SpringerLink					89038	4916	64088	7231	7422	7837	7516	14557	6010	5829	5762	6066	7125	7927	5756
3 Biotech	Springer	SpringerLink	10.1007/13205.2190-5738	13205	2190-572X	2190-5738	2	0	1	0	0	2	0	0	0	0	0	0	0	0	0
3D Research	Springer	SpringerLink	10.1007/13319.2092-6731	13319		2092-6731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4OR	Springer	SpringerLink	10.1007/10288.1614-2411	10288	1619-4500	1614-2411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAPS PharmSciTech	Springer	SpringerLink		12249		1530-9932	9	1	5	0	0	0	1	2	0	2	1	0	2	0	1
ADHD Attention Deficit and Hyperactivity Disorders	Springer	SpringerLink	10.1007/12402.1866-6647	12402	1866-6116	1866-6647	37	6	22	2	4	0	9	3	3	1	0	6	3	6	0
ADHESION ADHESIVES&SEALANTS	Springer	SpringerLink		35784	2192-2624	2195-6545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGE	Springer	SpringerLink	10.1007/11357.1574-4647	11357	0161-9152	1574-4647	42	6	25	1	3	8	7	1	7	5	3	0	2	3	2
AI & SOCIETY	Springer	SpringerLink	10.1007/146.1435-5655	146	0951-5666	1435-5655	5	0	3	0	0	0	0	0	0	2	0	1	0	2	0
AIDS Research and Therapy	Springer	SpringerLink		12981		1742-6405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AIDS and Behavior	Springer	SpringerLink	10.1007/10461.1573-3254	10461	1090-7165	1573-3254	2	0	2	0	1	0	0	0	0	0	0	0	1	0	0
AMB Express	Springer	SpringerLink	10.1007/13568.2191-0855	13568		2191-0855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AMBIO	Springer	SpringerLink	10.1007/13280.1654-7209	13280	0044-7447	1654-7209	10	0	6	0	3	0	1	3	0	0	0	0	1	1	1
